KODE_KEL_BRG;URAIAN_KEL_BRG;ID_ SSH;KODE_ BARANG;URAIAN_BARANG;SPESIFIKASI;SATUAN;HARGA_SATUAN
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294642;1.1.12.01.01.0001.00093;Bahan-bahan Material Bangunan dan Konstruksi untuk Penanggulangan Bencana - APBD Tahun Anggaran 2022;Bahan-bahan Material Bangunan dan Konstruksi untuk Penanggulangan Bencana - APBD Tahun Anggaran 2022;Tahun;330000000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294640;1.1.12.01.01.0001.00091;Stop Kran kuningan, 1.1/4;Stop Kran kuningan, 1.1/4;Buah;314900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294639;1.1.12.01.01.0001.00090;stop Kran PVC, 2;stop Kran PVC, 2;Buah;92200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294638;1.1.12.01.01.0001.00089;Stop Kran kuningan, 1;Stop Kran kuningan, 1;Buah;157500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294637;1.1.12.01.01.0001.00088;Stop Kran kuningan, 1.1/2;Stop Kran kuningan, 1.1/2;Buah;214600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294636;1.1.12.01.01.0001.00087;Water meter;Water meter;Unit;795600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294635;1.1.12.01.01.0001.00086;Box Water Meter;Box Water Meter;Buah;258200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294634;1.1.12.01.01.0001.00085;Kertas Gosok;Kertas Gosok;Lembar;5000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294633;1.1.12.01.01.0001.00084;Baut Drill 0,8 x 13;Baut Drill 0,8 x 13;Buah;700
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294632;1.1.12.01.01.0001.00083;Reng Galvalum;Reng Galvalum;Batang;36000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294631;1.1.12.01.01.0001.00082;Plamir Tembok;Plamir Tembok, 4 Kg;Kaleng;56000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294630;1.1.12.01.01.0001.00081;Engsel Pintu;Engsel Pintu, Kuda;Buah;50600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294629;1.1.12.01.01.0001.00080;Atap Seng Galvalum;Atap Seng Galvalum,;M2;238200
